house_id,square_footage,number_of_rooms,number_of_bathrooms,lot_size_sqft,distance_to_city_center_km,year_built,has_garage,quality_score,school_rating,building_material,heating_type,price_k_usd
1044,3356,4,2.0,9511,2.1,1968,Yes,5,3,Stone,Gas,1185.58
1045,1575,5,2.5,7823,17.5,1981,Yes,9,1,Wood,Gas,979.43
1046,4814,3,2.5,11631,12.6,1952,Yes,9,1,Stone,Gas,1162.05
1047,834,5,1.0,12801,29.4,1950,No,6,3,Wood,Gas,640.87
1048,3952,5,4.0,4384,15.7,1990,Yes,10,1,Brick,Oil,1264.76
1049,2755,5,2.5,12909,17.0,1997,Yes,7,1,Brick,Oil,1082.82
1050,2385,4,2.5,7158,21.7,1988,No,4,5,Wood,Gas,964.46
1051,4743,2,2.0,4191,15.1,1954,No,9,4,Brick,Electric,1219.67
1052,3873,2,1.5,12161,7.5,1960,Yes,5,5,Stone,Gas,1099.4
1053,1821,5,4.0,10785,16.6,1971,Yes,9,4,Stone,Oil,1193.77
1054,4261,4,1.0,14262,28.4,2013,Yes,7,1,Brick,Electric,1114.46
1055,3413,3,2.5,6743,12.9,1961,No,4,4,Brick,Oil,1015.88
1056,4643,5,2.0,13834,20.7,2002,No,4,5,Wood,Gas,1252.61
1057,2300,3,3.5,8944,29.4,2004,Yes,4,2,Wood,Electric,881.85
1058,961,3,2.0,12350,25.1,2002,Yes,9,2,Wood,Electric,788.82
1059,2781,4,2.0,7385,20.1,1970,Yes,6,4,Brick,Gas,892.23
1060,1795,4,2.5,11158,22.3,1968,Yes,5,2,Wood,Oil,874.85
1061,4142,2,1.0,6009,28.2,2018,Yes,4,3,Brick,Gas,1077.04
1062,4598,2,1.0,8728,28.8,2021,No,7,2,Wood,Oil,1090.4
1063,2075,4,1.5,6722,29.1,2015,No,4,4,Brick,Electric,861.04
1064,1816,5,1.5,9123,19.1,2008,Yes,5,1,Brick,Electric,773.75
1065,1137,2,1.0,10939,12.2,1998,Yes,10,5,Brick,Gas,908.3
1066,1678,3,2.5,11397,4.9,2008,Yes,8,2,Brick,Gas,967.4
1067,1876,5,3.0,7998,12.2,1972,Yes,10,4,Brick,Electric,1039.13
1068,4793,3,4.0,13421,28.3,1952,No,8,5,Brick,Electric,1304.02
1069,1179,4,2.0,7849,26.8,2005,Yes,10,3,Wood,Oil,924.19
1070,1292,3,2.0,5448,16.2,2007,Yes,6,1,Brick,Gas,814.43
1071,2862,5,3.5,5004,16.6,2011,Yes,4,5,Wood,Electric,1099.61
1072,4684,4,3.0,11184,10.0,1967,No,7,5,Brick,Electric,1292.15
1073,864,5,2.5,13970,14.2,2010,No,5,4,Wood,Oil,700.69
1074,3368,3,2.0,11868,21.7,1986,No,9,3,Stone,Gas,1170.63
1075,2827,5,3.5,4211,12.7,2003,Yes,4,2,Brick,Gas,974.91
1076,3495,4,1.5,9947,6.5,2014,No,10,3,Wood,Gas,1219.91
1077,2295,3,1.0,12369,16.7,1963,No,9,1,Wood,Gas,832.08
1078,1191,3,3.0,10108,7.5,1954,Yes,6,2,Brick,Electric,734.17
1079,4361,2,2.5,12814,29.3,2011,No,3,3,Wood,Gas,1035.77
1080,3078,2,1.5,4643,12.3,1950,No,8,1,Brick,Gas,866.0
1081,3899,5,2.5,4030,27.4,2012,Yes,7,5,Wood,Electric,1179.73
1082,1000,2,3.0,12195,7.5,2016,Yes,10,5,Brick,Gas,1196.1
1083,3904,2,3.0,4017,6.5,1969,No,10,5,Wood,Gas,1250.03
1084,3254,2,2.0,11162,18.9,1992,Yes,8,5,Wood,Gas,1174.54
1085,4445,2,1.0,13553,23.6,1991,No,10,2,Brick,Gas,1185.07
1086,1604,4,2.0,8327,17.4,2018,Yes,4,5,Wood,Gas,858.08
1087,3531,4,3.5,5825,7.7,2023,Yes,4,2,Stone,Gas,1271.14
1088,3573,2,1.5,12239,2.1,1988,No,3,2,Wood,Gas,954.63
1089,2370,5,2.0,10206,18.9,2011,Yes,5,3,Wood,Gas,962.73
1090,3490,4,2.0,10413,4.8,1997,Yes,9,5,Brick,Electric,1287.57
1091,4640,2,1.0,7161,11.0,1955,Yes,10,4,Stone,Electric,1232.99
1092,1828,4,3.5,6047,20.6,2023,No,9,5,Stone,Gas,1121.33
1093,1302,3,1.5,11766,3.8,1991,Yes,10,4,Wood,Gas,988.93
1094,1670,4,3.0,12480,4.7,2007,Yes,9,5,Wood,Gas,1181.61
1095,1006,4,2.0,11248,2.8,1992,No,3,2,Stone,Gas,795.75
1096,2284,5,2.0,12361,29.9,1959,Yes,9,5,Wood,Gas,1071.89
1097,1663,4,3.5,6943,12.2,1988,No,10,5,Brick,Electric,1043.44
1098,3590,5,2.5,11026,27.3,1962,Yes,10,5,Wood,Gas,1304.32
1099,1363,3,2.5,8778,9.5,1988,Yes,5,5,Wood,Gas,790.95
1100,4991,2,3.0,11645,22.8,1960,No,4,3,Stone,Gas,1162.79
1101,2557,5,2.0,6190,7.4,1965,Yes,3,3,Brick,Electric,838.36
1102,2478,4,2.5,12497,15.5,1982,Yes,8,2,Brick,Gas,1010.78
1103,4042,4,2.0,10515,24.9,2009,No,9,2,Wood,Gas,1171.0
1104,1859,5,3.0,12766,24.7,2008,Yes,8,4,Wood,Gas,1066.21
1105,2522,3,2.5,9223,24.0,2023,No,9,2,Wood,Electric,1030.76
1106,4114,2,1.5,13361,24.9,2000,Yes,10,3,Stone,Electric,1248.63
1107,3957,4,3.5,4000,7.1,1964,No,4,2,Brick,Gas,1016.26
1108,3425,3,2.5,10871,15.0,1992,Yes,3,4,Wood,Gas,1085.75
1109,3529,2,2.0,9244,15.1,1976,No,4,4,Wood,Gas,998.13
1110,2397,2,1.0,11203,26.8,2005,Yes,10,3,Brick,Gas,1033.98
1111,3860,4,3.5,4241,9.6,2009,No,10,2,Wood,Oil,1250.18
1112,3493,5,4.0,9073,28.0,2019,Yes,10,4,Wood,Gas,1300.66
1113,4427,4,2.5,6537,14.1,1996,Yes,8,2,Brick,Gas,1244.76
1114,2163,4,2.0,8860,20.4,1957,No,10,2,Wood,Gas,921.78
1115,2781,4,2.0,9284,8.8,2012,No,10,3,Wood,Electric,1128.9
1116,2463,3,2.0,9063,12.9,1956,Yes,8,3,Stone,Electric,912.42
1117,2329,5,2.5,14361,21.6,1951,No,4,2,Brick,Gas,742.59
1118,2838,3,1.5,6641,15.9,1966,Yes,9,5,Brick,Electric,1090.32
1119,4102,4,3.5,5835,28.0,1953,Yes,4,5,Brick,Electric,1180.6
1120,3037,5,1.5,14076,22.4,1975,No,6,1,Wood,Gas,929.67
1121,2106,2,2.5,9195,17.4,2021,No,3,1,Brick,Gas,870.56
1122,4829,5,2.0,12524,26.7,2018,Yes,10,1,Wood,Oil,1415.52
1123,3475,4,1.5,7917,20.3,1954,Yes,6,3,Stone,Gas,993.47
1124,2082,5,2.5,7762,19.8,1954,Yes,10,2,Wood,Gas,1017.98
1125,1509,2,3.0,12968,8.1,2018,Yes,4,4,Stone,Oil,917.85
1126,4548,2,2.5,13687,12.5,1952,Yes,7,2,Brick,Gas,1182.87
1127,1463,5,1.5,4369,20.8,1987,Yes,10,2,Wood,Gas,809.77
1128,2798,2,2.0,10480,26.9,1950,Yes,8,1,Wood,Electric,895.14
1129,4245,3,3.5,12023,10.2,1957,Yes,5,2,Wood,Gas,1089.93
1130,4543,5,2.5,4580,7.2,1962,No,3,1,Wood,Gas,1107.06
1131,2295,2,2.5,13833,18.2,2019,Yes,3,2,Brick,Gas,904.03
1132,4104,2,2.0,5562,2.9,1999,Yes,8,4,Brick,Gas,1324.69
1133,4563,5,3.0,8487,21.7,1957,No,5,5,Brick,Gas,1176.06
1134,2653,3,2.0,6053,21.4,1979,No,6,5,Wood,Electric,939.97
1135,2091,5,2.0,14036,11.3,1989,Yes,5,3,Wood,Electric,915.82
1136,4381,2,2.0,9508,26.9,2023,No,7,4,Brick,Gas,1213.71
1137,4257,5,1.5,12629,15.6,1982,No,4,2,Brick,Gas,1132.91
1138,2436,2,2.0,7188,19.7,2022,Yes,5,4,Wood,Oil,913.67
1139,4496,4,1.0,5990,7.1,2001,No,10,2,Wood,Gas,1150.45
1140,3799,5,2.0,7747,13.1,1982,Yes,9,4,Wood,Electric,1202.69
1141,3952,5,2.5,7062,26.0,2022,No,5,4,Wood,Electric,1145.89
1142,1498,2,4.0,7967,7.2,1986,Yes,4,5,Brick,Gas,921.4
1143,2960,2,1.0,7381,12.3,2019,No,8,4,Wood,Gas,1064.0
1144,4897,2,2.0,10305,10.2,2018,Yes,3,3,Stone,Gas,1250.16
1145,1654,2,2.0,11455,5.4,1953,No,8,2,Wood,Electric,833.24
1146,4274,5,1.5,8658,9.4,2009,Yes,9,1,Wood,Gas,1286.52
1147,2507,2,1.5,5666,7.8,2023,No,10,4,Wood,Electric,1086.08
1148,3577,5,2.0,9885,27.8,1980,No,7,1,Wood,Electric,1008.89
1149,2533,3,2.5,11508,22.5,1963,Yes,8,5,Brick,Gas,994.71
1150,4310,5,3.0,7499,10.2,2009,Yes,5,1,Stone,Gas,1270.46
1151,1002,2,4.0,14653,23.1,2017,No,5,3,Wood,Gas,862.64
1152,4055,2,3.0,9383,1.6,1975,Yes,3,3,Wood,Oil,1297.89
1153,1566,3,1.5,4825,16.3,1973,No,7,5,Stone,Electric,812.15
1154,3127,5,2.5,4891,8.3,2005,Yes,4,3,Wood,Gas,997.64
1155,3731,3,2.0,7418,4.3,1958,Yes,4,2,Brick,Gas,985.77
1156,997,5,2.0,4316,26.6,1984,Yes,6,3,Brick,Gas,771.32
1157,2730,2,3.5,13975,6.8,1973,Yes,7,4,Wood,Gas,1048.27
1158,4382,5,2.5,13213,24.8,1980,Yes,7,3,Wood,Gas,1175.28
1159,1408,2,2.5,10068,13.0,2015,No,5,2,Brick,Electric,727.39
1160,4072,2,1.0,8294,1.4,2015,Yes,6,5,Brick,Gas,1352.1
1161,1947,4,3.5,5099,22.2,1990,Yes,4,3,Wood,Electric,753.74
1162,4197,4,3.0,7953,18.3,1985,Yes,10,2,Wood,Gas,1233.74
1163,3311,5,2.0,6467,11.0,1983,No,10,4,Brick,Electric,1169.97
1164,2594,2,2.0,8965,9.2,1988,No,9,1,Brick,Electric,906.72
1165,1459,3,1.0,11530,3.1,1972,Yes,7,1,Brick,Gas,856.98
1166,3611,2,1.0,6450,28.3,1993,No,7,5,Wood,Gas,969.66
1167,2169,3,2.5,10161,15.3,2019,No,3,5,Stone,Gas,1020.36
1168,2786,5,1.5,13899,3.5,2007,No,4,1,Wood,Electric,906.49
1169,946,5,3.5,14608,26.2,2008,Yes,3,1,Wood,Oil,810.54
1170,4019,3,3.0,6707,9.1,1975,Yes,10,5,Wood,Gas,1335.68
1171,3711,3,2.0,6561,6.9,1971,No,6,1,Brick,Gas,972.81
1172,2534,2,2.0,4029,9.1,1989,Yes,7,3,Wood,Electric,902.53
1173,2643,5,2.0,4434,17.4,1960,Yes,6,2,Stone,Gas,945.42
1174,1288,2,1.0,13387,3.1,1958,Yes,8,5,Brick,Gas,986.52
1175,3776,3,1.0,4046,15.0,1961,Yes,3,2,Brick,Gas,906.29
1176,2759,4,2.0,12490,27.0,1975,Yes,4,4,Brick,Gas,976.58
1177,3185,4,3.5,13738,6.5,1987,Yes,7,4,Wood,Gas,1207.28
1178,3719,4,3.5,7541,10.6,1952,No,8,3,Brick,Gas,1153.59
1179,2602,3,3.0,13641,12.5,1964,Yes,8,4,Stone,Electric,1210.67
1180,4861,2,2.5,8482,18.0,1996,Yes,4,5,Wood,Electric,1244.5
1181,4169,5,3.5,7554,27.7,1954,No,6,3,Brick,Gas,1194.32
1182,1062,3,2.0,11022,12.4,2003,Yes,8,3,Brick,Gas,917.16
1183,1423,4,1.5,9797,3.0,1973,No,5,5,Brick,Gas,913.78
1184,1816,2,2.5,14952,11.1,1960,Yes,4,1,Wood,Electric,559.36
1185,4443,5,3.5,14695,6.5,1982,No,8,2,Wood,Electric,1226.56
1186,2849,5,1.0,8257,19.9,2023,Yes,4,5,Wood,Gas,1030.39
1187,4523,3,2.0,7378,1.8,2006,Yes,4,1,Wood,Gas,1243.23
1188,3908,3,2.0,14990,9.5,2001,No,7,1,Stone,Electric,1135.86
1189,4890,5,1.0,13630,16.8,2013,No,6,4,Wood,Electric,1275.66
1190,2856,5,1.5,4338,9.0,1992,No,10,3,Brick,Gas,1027.45
1191,3970,4,2.0,14155,17.0,1993,No,6,3,Wood,Gas,1127.71
1192,2482,5,3.5,10202,4.3,1985,Yes,7,4,Wood,Electric,1137.69
1193,3055,3,3.5,9339,28.3,1961,No,4,4,Wood,Gas,966.74
1194,1954,2,3.5,6408,9.4,2005,Yes,4,3,Brick,Gas,849.98
1195,3991,4,1.5,10168,27.8,1952,Yes,10,5,Brick,Gas,1253.42
1196,2496,4,1.0,5929,10.4,1999,Yes,5,5,Wood,Gas,859.13
1197,4791,5,1.5,6500,23.7,1978,Yes,8,5,Brick,Oil,1247.07
1198,2448,2,3.5,11374,8.1,1965,No,4,5,Stone,Gas,1089.58
1199,2245,4,1.5,14264,20.4,1989,Yes,8,4,Wood,Oil,996.01
1200,4999,3,2.5,13299,10.4,1976,Yes,3,2,Stone,Electric,1118.89
1201,4723,5,1.5,6295,15.8,2019,Yes,8,2,Wood,Gas,1184.03
1202,1053,3,1.0,11415,20.5,1991,No,10,3,Stone,Electric,825.31
1203,3983,5,1.0,11218,18.1,2006,Yes,4,2,Stone,Gas,1186.63
1204,3357,4,2.5,11092,17.7,1959,Yes,10,5,Wood,Gas,1215.73
1205,898,5,1.5,13737,2.9,1987,Yes,5,4,Brick,Gas,927.78
1206,3000,2,1.5,6224,8.2,1957,Yes,3,5,Brick,Gas,866.41
1207,3761,3,2.0,10268,17.6,1967,Yes,5,1,Wood,Electric,881.02
1208,4577,2,2.5,12357,1.5,1966,Yes,8,4,Stone,Electric,1505.66
1209,3669,3,2.0,10120,8.3,2007,Yes,5,1,Brick,Gas,1044.51
1210,4034,3,3.5,12317,7.6,2015,Yes,8,1,Wood,Gas,1252.65
1211,4591,5,2.0,7440,8.2,1993,No,6,3,Wood,Electric,1184.74
1212,1756,4,1.5,4881,16.5,2023,Yes,8,1,Brick,Electric,902.25
1213,4867,4,2.0,9933,17.9,1958,No,7,2,Wood,Gas,1031.97
1214,960,2,2.0,11414,27.4,1997,Yes,5,2,Wood,Gas,655.56
1215,2100,5,3.0,8165,12.2,1988,Yes,4,1,Stone,Gas,928.65
1216,4787,4,3.5,10137,27.9,1955,Yes,6,3,Brick,Electric,1194.72
1217,2327,3,3.0,4522,19.9,1979,Yes,9,1,Brick,Electric,1004.56
1218,2018,3,2.0,13615,27.5,2023,No,3,4,Wood,Gas,888.27
1219,3904,5,1.5,14911,25.2,1967,Yes,8,4,Wood,Gas,1149.42
1220,3535,2,3.5,13601,20.9,1992,Yes,7,4,Wood,Gas,1163.72
1221,1754,5,2.0,7129,11.3,1982,Yes,6,4,Brick,Electric,881.04
1222,4246,2,3.0,7545,8.0,2002,Yes,5,1,Wood,Electric,1038.02
1223,1845,5,4.0,10996,7.4,2005,No,9,5,Wood,Electric,1110.9
1224,2493,3,2.5,6981,28.6,1968,No,9,5,Stone,Electric,999.87
1225,4236,5,2.0,7150,28.8,2018,Yes,6,4,Brick,Gas,1257.99
1226,1362,4,2.5,10328,22.0,1975,No,4,3,Brick,Gas,758.58
1227,3285,4,1.5,5094,26.6,1978,Yes,4,3,Wood,Electric,915.58
1228,4154,5,2.0,5139,27.7,1973,No,4,1,Wood,Electric,923.2
1229,1025,2,2.0,8026,15.8,1955,No,7,5,Wood,Gas,633.51
1230,1759,2,1.5,10466,19.2,2003,Yes,10,1,Stone,Oil,943.34
1231,3867,3,2.5,12206,13.1,1988,No,9,2,Wood,Gas,1128.12
1232,1615,3,2.5,10585,13.1,1953,No,6,4,Brick,Gas,822.34
1233,3920,2,3.0,5538,2.1,2007,Yes,10,2,Wood,Gas,1334.5
1234,816,5,3.5,9177,13.6,1997,No,6,2,Brick,Oil,746.84
1235,2043,3,1.5,10542,20.5,2009,Yes,9,3,Wood,Gas,968.21
1236,3005,2,3.0,8795,13.2,1975,Yes,5,5,Wood,Oil,1079.26
1237,3324,2,2.0,11579,26.3,1989,Yes,3,4,Wood,Electric,773.55
1238,1869,5,2.5,13902,10.6,2005,Yes,10,1,Wood,Gas,1060.12
1239,4244,4,3.5,14816,4.8,1988,Yes,4,4,Brick,Gas,1360.04
1240,3365,2,2.0,13652,24.5,1988,Yes,3,1,Brick,Electric,771.23
1241,1860,3,2.5,9011,20.5,1997,Yes,9,1,Wood,Gas,887.15
1242,3127,5,2.0,5816,8.0,1974,No,9,5,Brick,Gas,1123.59
1243,4220,5,3.0,14430,16.6,1983,Yes,3,2,Wood,Gas,1074.36
1244,1101,5,2.5,9635,12.7,1970,Yes,4,1,Wood,Gas,652.91
1245,1406,4,3.0,10994,28.2,1974,Yes,10,5,Wood,Gas,1033.67
1246,3970,4,2.0,10203,18.6,1971,Yes,10,2,Brick,Gas,1183.82
1247,1499,3,2.5,8251,5.6,1972,No,4,2,Wood,Electric,598.53
1248,1939,3,2.5,10612,15.6,1974,Yes,10,4,Wood,Gas,963.32
1249,990,5,2.0,13891,26.0,1975,Yes,5,4,Stone,Gas,831.55
1250,3100,3,2.0,6976,20.5,1979,Yes,7,4,Wood,Gas,1033.33
1251,1780,2,2.0,12506,25.4,1987,Yes,4,3,Wood,Oil,734.0
1252,3775,4,1.0,13900,8.3,1983,No,3,2,Brick,Gas,883.27
1253,1984,5,1.5,8863,26.8,2022,Yes,10,3,Wood,Electric,982.64
1254,4127,5,1.0,10275,22.9,1964,Yes,10,4,Wood,Gas,1228.71
1255,4194,2,3.0,7753,22.1,1993,Yes,9,5,Stone,Gas,1288.03
1256,927,2,3.5,6458,11.0,1959,No,5,4,Stone,Electric,723.32
1257,2865,2,3.0,4135,26.7,1986,No,10,1,Wood,Electric,846.86
1258,2616,2,3.0,4813,19.5,1956,No,6,5,Wood,Gas,862.76
1259,1369,5,1.5,6008,25.7,1981,No,9,5,Brick,Electric,942.74
1260,2695,4,2.0,6073,11.5,1960,No,5,2,Wood,Gas,755.85
1261,3533,4,3.5,10656,5.2,1997,Yes,4,3,Wood,Gas,1227.62
1262,4663,2,3.0,11136,10.6,2017,Yes,9,1,Wood,Electric,1279.42
1263,4814,3,1.0,12957,14.2,1997,No,8,5,Wood,Oil,1357.75
1264,3701,5,2.0,7794,16.5,1994,Yes,4,3,Stone,Gas,998.17
1265,2486,4,1.0,10076,15.8,1982,Yes,7,3,Wood,Gas,998.97
1266,3809,2,2.0,6769,16.8,1953,Yes,5,1,Wood,Electric,860.15
1267,954,3,2.0,7673,25.4,1996,No,4,1,Brick,Electric,564.48
1268,3337,3,3.5,12389,5.9,2002,Yes,3,4,Wood,Gas,1079.46
1269,2209,2,2.5,13189,10.2,1980,No,3,4,Brick,Electric,812.34
1270,4857,5,2.0,8032,26.8,1980,No,5,5,Wood,Electric,1212.06
1271,1584,4,2.0,5346,17.3,1976,Yes,9,5,Brick,Gas,931.42
1272,3975,3,3.0,5719,17.9,1997,Yes,7,5,Brick,Electric,1203.2
1273,3606,4,2.0,12632,14.9,1985,Yes,8,4,Wood,Gas,1205.66
1274,1337,4,2.5,14165,16.9,1998,Yes,5,5,Wood,Gas,910.85
1275,2641,3,2.0,12583,6.7,1980,Yes,7,5,Brick,Gas,985.73
1276,3255,2,2.0,13862,16.9,1993,Yes,3,4,Wood,Electric,985.06
1277,1324,3,1.0,13547,29.9,2008,No,4,4,Wood,Gas,762.35
1278,3750,3,3.5,9003,17.4,1972,Yes,6,5,Stone,Electric,1150.49
1279,4931,5,1.0,6255,2.3,2017,No,4,5,Stone,Gas,1357.68
1280,4915,4,1.5,9341,24.1,1991,Yes,3,3,Wood,Electric,1040.41
1281,3168,2,2.0,6026,12.5,1991,No,8,2,Brick,Electric,1044.03
1282,4647,4,2.5,8339,5.5,1962,Yes,9,4,Wood,Oil,1295.89
1283,3501,3,2.5,7730,26.0,1950,Yes,3,2,Wood,Gas,883.26
1284,1771,2,1.0,5298,6.7,2002,Yes,4,4,Wood,Gas,845.43
1285,1966,2,1.0,5612,27.7,1989,Yes,4,3,Brick,Electric,750.75
1286,3574,2,3.0,4107,13.8,1995,Yes,8,2,Wood,Gas,1096.89
1287,2782,2,2.5,5353,22.5,1971,Yes,8,3,Brick,Gas,1042.57
1288,1653,5,3.0,5646,16.9,2001,Yes,3,1,Wood,Electric,641.87
1289,4946,2,2.5,8220,8.4,1977,No,4,2,Brick,Gas,1138.31
1290,4536,3,3.0,5116,20.5,2002,No,9,2,Brick,Gas,1245.27
1291,4569,5,2.0,12603,28.8,2012,Yes,6,2,Brick,Electric,1214.76
1292,1374,3,2.5,7020,23.3,1966,Yes,10,1,Wood,Gas,817.52
1293,4061,3,3.0,4236,18.5,2013,No,6,1,Stone,Electric,1164.81
1294,1948,4,1.5,6702,29.7,1955,Yes,5,3,Wood,Gas,796.1
1295,2515,2,2.0,12400,8.7,1963,No,6,1,Brick,Gas,801.93
1296,4654,2,2.5,11190,2.8,1966,Yes,3,4,Brick,Gas,1248.08
1297,3291,3,2.0,11594,1.9,1987,Yes,3,5,Wood,Electric,1106.18
1298,3460,2,2.5,10051,21.6,2018,Yes,5,2,Wood,Gas,1019.5
1299,3924,5,2.0,9054,25.1,1962,Yes,9,3,Wood,Oil,1175.69
1300,3851,4,1.0,7248,19.4,2002,No,7,3,Wood,Electric,1049.65
1301,804,2,1.0,6813,27.2,1958,Yes,9,3,Stone,Electric,731.4
1302,1676,2,3.5,6337,21.2,1993,Yes,5,3,Brick,Gas,875.72
1303,1791,5,3.5,9726,11.8,1975,Yes,7,2,Wood,Electric,879.43
1304,4942,4,1.5,14022,6.3,1968,No,7,3,Brick,Gas,1222.89
1305,1435,5,1.5,5951,27.8,1997,Yes,4,2,Stone,Gas,755.2
1306,2493,3,1.0,14319,4.0,1979,No,8,3,Stone,Electric,1028.5
1307,2482,3,1.5,7801,16.7,1981,No,6,3,Wood,Oil,846.09
1308,919,2,2.0,11888,10.1,2018,No,9,5,Brick,Gas,969.45
1309,1630,4,1.5,6453,8.9,1960,Yes,7,4,Stone,Electric,876.07
1310,4475,3,3.0,10562,19.7,1975,Yes,10,1,Wood,Oil,1229.53
1311,2169,5,2.5,14262,7.7,1975,Yes,4,1,Stone,Gas,865.74
1312,1540,3,1.0,14948,27.6,1966,Yes,5,1,Stone,Gas,718.55
1313,916,3,2.5,13605,12.8,1993,No,10,4,Brick,Electric,971.11
1314,3638,5,2.0,12438,20.6,1972,No,5,2,Brick,Oil,937.15
1315,1950,2,1.5,9721,22.1,1974,Yes,10,1,Wood,Oil,849.47
1316,2731,4,2.5,6533,20.8,1986,No,9,1,Stone,Gas,1065.24
1317,1812,2,1.0,11685,27.2,2014,Yes,9,1,Brick,Electric,808.59
1318,2464,5,1.5,12978,7.7,1951,Yes,7,2,Brick,Gas,944.28
1319,1881,3,1.5,9229,3.5,2023,Yes,9,4,Brick,Gas,1109.2
1320,1312,4,3.5,9726,2.6,1981,Yes,4,4,Stone,Electric,934.24
1321,3649,2,2.5,10742,26.5,2023,No,3,2,Brick,Electric,967.58
1322,1359,5,2.0,14635,29.2,2004,Yes,9,5,Wood,Gas,1051.06
1323,4472,3,3.0,9132,9.8,1999,No,8,3,Brick,Gas,1324.68
1324,4143,3,1.5,4341,21.1,2014,Yes,8,2,Brick,Gas,1178.43
1325,4870,2,3.5,8802,1.3,1981,No,6,3,Brick,Gas,1418.5
1326,2270,5,2.5,10731,6.5,1986,No,7,4,Stone,Electric,1117.11
1327,1380,3,2.5,13374,21.0,1962,No,3,3,Stone,Electric,642.7
1328,3094,3,3.0,5046,2.9,2003,Yes,10,1,Brick,Gas,1168.19
1329,3947,4,2.5,5020,14.6,1952,Yes,6,3,Wood,Electric,1059.79
1330,2479,3,3.5,10969,20.2,1991,Yes,10,3,Wood,Gas,1165.13
